Country,Year,Waste,Income,Education,Women,Household,Age,Urban
Poland,2016,251.1241740207978,5884.0,25.2,61.5,2.8,39.9,0.6017800011888306
Portugal,2016,472.3187051926431,8782.0,21.4,66.5,2.5,44.1,0.6408599836597952
Romania,2016,207.4041330254139,2448.0,15.1,51.4,2.7,41.4,0.5390000044157355
Slovenia,2016,311.0288403963205,12327.0,27.2,66.2,2.5,43.2,0.5402001508928148
Slovakia,2016,348.2188073830703,6951.0,19.7,67.2,2.8,39.4,0.5380599683508759
Finland,2016,326.5096473534928,23650.0,35.9,70.8,2.0,42.5,0.8527500667388133
Sweden,2016,447.75803351065167,25164.0,35.3,78.7,2.0,40.9,0.8685200217472692
Norway,2016,469.091513439311,39573.0,36.8,78.1,2.0,39.2,0.8148500368419715
Türkiye,2016,356.8398812243468,3752.0,16.0,33.2,3.5,31.1,0.7413399955967587
Belgium,2017,437.1293258194594,22733.0,35.6,63.6,2.3,41.5,0.979610041460523
Bulgaria,2017,437.4300036126947,3590.0,24.5,66.8,2.4,45.0,0.746690019017949
Czechia,2017,443.1418958686426,8282.0,21.4,70.5,2.4,41.9,0.736749981452532
Denmark,2017,609.1622403500563,29383.0,32.2,73.2,2.0,41.6,0.8775699135122759
Germany,2017,452.93750184850416,21920.0,24.8,74.2,2.0,45.9,0.7726099961864091
Estonia,2017,371.1398914539147,9384.0,33.6,76.8,2.2,41.8,0.6871701796894452
Ireland,2017,323.9694251306508,22879.0,40.4,66.9,2.7,36.9,0.6294700989393824
Spain,2017,476.9462823036381,14203.0,33.2,59.6,2.5,43.2,0.8007999916554411
France,2017,440.2009691914839,21960.0,31.4,68.1,2.2,41.4,0.8017999934845651
Italy,2017,501.868738202672,16542.0,16.5,52.5,2.3,46.0,0.7014399973411174
Cyprus,2017,456.4660062289071,14497.0,38.1,66.2,2.7,37.4,0.6683596423071799
Latvia,2017,370.2692996501731,6607.0,30.0,72.6,2.3,43.1,0.6807498321532575
Lithuania,2017,443.8070519580709,6134.0,34.8,75.5,2.2,43.6,0.675160152213104
Luxembourg,2017,316.6849714930337,36315.0,34.1,67.5,2.5,39.4,0.907270397896488
Hungary,2017,288.7720999883949,4988.0,20.9,69.9,2.3,42.3,0.7106199592438306
Malta,2017,381.0635753180956,14522.0,22.1,60.6,2.5,40.6,0.9454592851694128
Austria,2017,495.0770983690665,24752.0,29.7,71.4,2.2,43.0,0.5809400009047957
Poland,2017,251.5305133768167,5945.0,26.3,63.0,2.8,40.3,0.6010499955944498
Portugal,2017,488.3489814290064,9071.0,21.8,69.0,2.5,44.5,0.6465200042717203
Romania,2017,210.6519747241517,2742.0,15.3,54.0,2.6,41.8,0.5393599835415442
Slovenia,2017,311.1456131072793,12713.0,28.7,69.3,2.5,43.5,0.5427301165124846
Slovakia,2017,381.16794732092416,7183.0,20.7,69.4,2.8,39.8,0.5375100749517578
Finland,2017,348.0646322609808,23987.0,36.4,71.3,2.0,42.5,0.8532500734357815
Sweden,2017,446.4592179007135,25376.0,36.0,79.2,2.1,40.8,0.8714599503783073
Norway,2017,462.8574989352492,38471.0,36.8,77.6,1.9,39.3,0.8187099106911393
